epoch,loss_G_total,loss_D_total,loss_paired,loss_cycle,loss_seg,loss_anatomy,mr2ct_ssim,ct2mr_ssim,mr2ct_mae,ct2mr_mae,mr2ct_psnr,ct2mr_psnr,mr2ct_rmse,ct2mr_rmse,mean_dice,dice_class_1,dice_class_2,dice_class_3,dice_class_4,dice_class_5,mean_iou,iou_per_class,iou_class_1,iou_class_2,iou_class_3,iou_class_4,iou_class_5,ct_seg_mean_dice,ct_seg_per_class,ct_seg_class_1,ct_seg_class_2,ct_seg_class_3,ct_seg_class_4,ct_seg_class_5,ct_seg_mean_iou,ct_seg_iou_per_class,ct_seg_iou_class_1,ct_seg_iou_class_2,ct_seg_iou_class_3,ct_seg_iou_class_4,ct_seg_iou_class_5
1,2.844486,0.630825,1.037427,0.594551,0.000000,0.000000,0.936232,0.837988,0.080402,0.238936,28.470323,20.783040,0.135479,0.338529,0.047254,0.047664,0.047664,0.047664,0.047664,0.045616,0.047085,"[0.04766355188657648, 0.0476635553013183, 0.04766355202201145, 0.047663551636521626, 0.04477236141454475]",0.047664,0.047664,0.047664,0.047664,0.044772,0.034914,"[0.03457943968590747, 0.03457944316674476, 0.034579440079947225, 0.03457943947243011, 0.036253284870951884]",0.034579,0.034579,0.034579,0.034579,0.036253,0.034747,"[0.03457943968590747, 0.03457944316674476, 0.034579440079947225, 0.03457943947243011, 0.03541795653886677]",0.034579,0.034579,0.034579,0.034579,0.035418
2,3.610343,0.562537,0.939771,0.479776,0.386901,0.674257,0.927671,0.840770,0.094888,0.247422,27.429191,20.598202,0.154927,0.347866,0.619153,1.000000,1.000000,1.000000,0.047664,0.048100,0.618743,"[1.0, 1.0, 1.0, 0.047663551825477886, 0.046052489476158774]",1.000000,1.000000,1.000000,0.047664,0.046052,0.616796,"[1.0, 1.0, 1.0, 0.034579439560395386, 0.049401421432433784]",1.000000,1.000000,1.000000,0.034579,0.049401,0.615352,"[1.0, 1.0, 1.0, 0.034579439560395386, 0.042181530235856766]",1.000000,1.000000,1.000000,0.034579,0.042182
3,3.806016,0.366680,0.581699,0.287859,0.367710,0.703779,0.927019,0.840889,0.094839,0.233762,27.699054,21.018149,0.152501,0.331420,0.620196,1.000000,1.000000,1.000000,0.047664,0.053318,0.619294,"[1.0, 1.0, 1.0, 0.04766355172915418, 0.048804134475892436]",1.000000,1.000000,1.000000,0.047664,0.048804,0.617942,"[1.0, 1.0, 1.0, 0.03457943950095128, 0.05512878037649849]",1.000000,1.000000,1.000000,0.034579,0.055129,0.615960,"[1.0, 1.0, 1.0, 0.03457943950095128, 0.04521980466743141]",1.000000,1.000000,1.000000,0.034579,0.045220
4,3.395654,0.250246,0.278660,0.138062,0.256633,0.493877,0.929148,0.840308,0.092065,0.235144,27.913379,20.962013,0.148966,0.333498,0.620423,1.000000,1.000000,1.000000,0.047664,0.054450,0.619415,"[1.0, 1.0, 1.0, 0.04766355194553773, 0.049412792135587906]",1.000000,1.000000,1.000000,0.047664,0.049413,0.617463,"[1.0, 1.0, 1.0, 0.03457943954648051, 0.052733499614059695]",1.000000,1.000000,1.000000,0.034579,0.052733,0.615712,"[1.0, 1.0, 1.0, 0.03457943954648051, 0.043980892161210705]",1.000000,1.000000,1.000000,0.034579,0.043981
5,3.622476,0.211243,0.272737,0.141080,0.310236,0.632570,0.926477,0.839499,0.098508,0.241735,27.302515,20.782236,0.159185,0.341145,0.618680,1.000000,1.000000,1.000000,0.047664,0.045736,0.618503,"[1.0, 1.0, 1.0, 0.04766355176594933, 0.04484928884058745]",1.000000,1.000000,1.000000,0.047664,0.044849,0.616980,"[1.0, 1.0, 1.0, 0.034579439468326166, 0.05031820417324719]",1.000000,1.000000,1.000000,0.034579,0.050318,0.615449,"[1.0, 1.0, 1.0, 0.034579439468326166, 0.042666831754276505]",1.000000,1.000000,1.000000,0.034579,0.042667
6,2.648458,0.092486,0.038721,0.018849,0.062168,0.120154,0.926888,0.839464,0.097604,0.241791,27.361766,20.779359,0.158176,0.341143,0.618775,1.000000,1.000000,1.000000,0.047664,0.046209,0.618551,"[1.0, 1.0, 1.0, 0.04766355179116901, 0.045091054196430475]",1.000000,1.000000,1.000000,0.047664,0.045091,0.617068,"[1.0, 1.0, 1.0, 0.03457943947261242, 0.05076284996531087]",1.000000,1.000000,1.000000,0.034579,0.050763,0.615496,"[1.0, 1.0, 1.0, 0.03457943947261242, 0.04290206648967963]",1.000000,1.000000,1.000000,0.034579,0.042902
7,2.469095,0.044592,0.000000,0.000000,0.000000,0.000000,0.926877,0.839470,0.097609,0.241807,27.360240,20.778986,0.158196,0.341156,0.618774,1.000000,1.000000,1.000000,0.047664,0.046208,0.618551,"[1.0, 1.0, 1.0, 0.04766355179265416, 0.045090356324812335]",1.000000,1.000000,1.000000,0.047664,0.045090,0.617069,"[1.0, 1.0, 1.0, 0.034579439472997665, 0.05076320209089467]",1.000000,1.000000,1.000000,0.034579,0.050763,0.615496,"[1.0, 1.0, 1.0, 0.034579439472997665, 0.04290223171748179]",1.000000,1.000000,1.000000,0.034579,0.042902
8,2.513249,0.050081,0.000000,0.000000,0.000000,0.000000,0.926871,0.839470,0.097612,0.241804,27.359199,20.779086,0.158214,0.341152,0.618774,1.000000,1.000000,1.000000,0.047664,0.046208,0.618551,"[1.0, 1.0, 1.0, 0.047663551792654246, 0.0450903554350801]",1.000000,1.000000,1.000000,0.047664,0.045090,0.617069,"[1.0, 1.0, 1.0, 0.03457943947266766, 0.05076320229661582]",1.000000,1.000000,1.000000,0.034579,0.050763,0.615496,"[1.0, 1.0, 1.0, 0.03457943947266766, 0.042902231809888405]",1.000000,1.000000,1.000000,0.034579,0.042902
9,2.491484,0.049717,0.000000,0.000000,0.000000,0.000000,0.926863,0.839461,0.097618,0.241750,27.358026,20.780914,0.158234,0.341073,0.618774,1.000000,1.000000,1.000000,0.047664,0.046208,0.618551,"[1.0, 1.0, 1.0, 0.047663551792654246, 0.0450903554350801]",1.000000,1.000000,1.000000,0.047664,0.045090,0.617069,"[1.0, 1.0, 1.0, 0.03457943947266766, 0.05076320229661582]",1.000000,1.000000,1.000000,0.034579,0.050763,0.615496,"[1.0, 1.0, 1.0, 0.03457943947266766, 0.042902231809888405]",1.000000,1.000000,1.000000,0.034579,0.042902
10,2.781155,0.072547,0.064186,0.036312,0.077485,0.159335,0.927591,0.839156,0.095241,0.243076,27.588785,20.713556,0.154013,0.343294,0.622168,1.000000,1.000000,1.000000,0.047664,0.063177,0.620334,"[1.0, 1.0, 1.0, 0.047663551926547566, 0.054004745381590176]",1.000000,1.000000,1.000000,0.047664,0.054005,0.622903,"[1.0, 1.0, 1.0, 0.034579439443299324, 0.07993468580325888]",1.000000,1.000000,1.000000,0.034579,0.079935,0.618662,"[1.0, 1.0, 1.0, 0.034579439443299324, 0.058732212489998416]",1.000000,1.000000,1.000000,0.034579,0.058732
