epoch,loss_G_total,loss_D_total,loss_paired,loss_cycle,loss_seg,loss_anatomy,mr2ct_ssim,ct2mr_ssim,mr2ct_mae,ct2mr_mae,mr2ct_psnr,ct2mr_psnr,mr2ct_rmse,ct2mr_rmse,mean_dice,dice_class_1,dice_class_2,dice_class_3,dice_class_4,dice_class_5,mean_iou,iou_per_class,iou_class_1,iou_class_2,iou_class_3,iou_class_4,iou_class_5,ct_seg_mean_dice,ct_seg_per_class,ct_seg_class_1,ct_seg_class_2,ct_seg_class_3,ct_seg_class_4,ct_seg_class_5,ct_seg_mean_iou,ct_seg_iou_per_class,ct_seg_iou_class_1,ct_seg_iou_class_2,ct_seg_iou_class_3,ct_seg_iou_class_4,ct_seg_iou_class_5
1,1.475809,0.644353,0.000000,0.604388,0.000000,0.000000,0.910977,0.818523,0.129030,0.500804,26.227500,16.194763,0.191626,0.648756,0.057085,0.057477,0.057477,0.057477,0.057477,0.055517,0.056861,"[0.05747663633748333, 0.05747663712386254, 0.05747663703488909, 0.057476635967514345, 0.05439745088133784]",0.057477,0.057477,0.057477,0.057477,0.054397,0.042535,"[0.042056075653091045, 0.04205607647258424, 0.04205607624553534, 0.042056075212952036, 0.04445242822279008]",0.042056,0.042056,0.042056,0.042056,0.044452,0.042296,"[0.042056075653091045, 0.04205607647258424, 0.04205607624553534, 0.042056075212952036, 0.04325795820083103]",0.042056,0.042056,0.042056,0.042056,0.043258
2,1.310277,0.575690,0.000000,0.479538,0.000000,0.000000,0.908021,0.821528,0.127875,0.328884,26.305183,18.987960,0.191294,0.457518,0.057120,0.057477,0.057477,0.057477,0.057477,0.055692,0.056878,"[0.05747663609906748, 0.057476640492941336, 0.057476637058802356, 0.05747663600569065, 0.05448560988205385]",0.057477,0.057477,0.057477,0.057477,0.054486,0.042515,"[0.042056075401283054, 0.04205607901025014, 0.042056076408814605, 0.042056075235646743, 0.04435317417996087]",0.042056,0.042056,0.042056,0.042056,0.044353,0.042286,"[0.042056075401283054, 0.04205607901025014, 0.042056076408814605, 0.042056075235646743, 0.04320814313705521]",0.042056,0.042056,0.042056,0.042056,0.043208
3,1.459073,0.520406,0.000000,0.435055,0.000000,0.000000,0.914339,0.822856,0.111871,0.353506,26.953857,18.442881,0.176736,0.489389,0.057172,0.057477,0.057477,0.057477,0.057477,0.055955,0.056905,"[0.05747663623557372, 0.05747663791926736, 0.057476637033457095, 0.05747663596749226, 0.054618092648050176]",0.057477,0.057477,0.057477,0.057477,0.054618,0.042558,"[0.04205607555542428, 0.042056077420156636, 0.042056076423301315, 0.042056075191404925, 0.04456429984082581]",0.042056,0.042056,0.042056,0.042056,0.044564,0.042308,"[0.04205607555542428, 0.042056077420156636, 0.042056076423301315, 0.042056075191404925, 0.04331419578061245]",0.042056,0.042056,0.042056,0.042056,0.043314
4,1.247988,0.557136,0.000000,0.400693,0.000000,0.000000,0.908648,0.822377,0.127100,0.326679,25.979718,18.955449,0.197604,0.459083,0.057080,0.057477,0.057477,0.057477,0.057477,0.055492,0.056858,"[0.05747663625853109, 0.05747663989320463, 0.05747663716308341, 0.05747663597434688, 0.05438493356683431]",0.057477,0.057477,0.057477,0.057477,0.054385,0.042488,"[0.042056075560367154, 0.042056079042069136, 0.04205607657673704, 0.042056075204233476, 0.04421447331829313]",0.042056,0.042056,0.042056,0.042056,0.044214,0.042273,"[0.042056075560367154, 0.042056079042069136, 0.04205607657673704, 0.042056075204233476, 0.043138364394558266]",0.042056,0.042056,0.042056,0.042056,0.043138
5,1.327243,0.526692,0.000000,0.395582,0.000000,0.000000,0.917632,0.820019,0.126558,0.312974,26.710012,19.419131,0.183710,0.435498,0.057143,0.057477,0.057477,0.057477,0.057477,0.055810,0.056890,"[0.057476636523381044, 0.05747663950454454, 0.05747663692864752, 0.057476635922174835, 0.05454558952277881]",0.057477,0.057477,0.057477,0.057477,0.054546,0.042569,"[0.04205607584347559, 0.042056077870555195, 0.04205607622198474, 0.04205607514611568, 0.044621741916201184]",0.042056,0.042056,0.042056,0.042056,0.044622,0.042313,"[0.04205607584347559, 0.042056077870555195, 0.04205607622198474, 0.04205607514611568, 0.04334303221027073]",0.042056,0.042056,0.042056,0.042056,0.043343
6,1.266477,0.534055,0.000000,0.383979,0.000000,0.000000,0.914288,0.822227,0.145333,0.343875,25.773807,18.614628,0.206744,0.478749,0.057147,0.057477,0.057477,0.057477,0.057477,0.055827,0.056892,"[0.057476636483331074, 0.05747663944408433, 0.05747663672776387, 0.05747663591225554, 0.054553521908308096]",0.057477,0.057477,0.057477,0.057477,0.054554,0.042576,"[0.04205607570467051, 0.04205607863372889, 0.04205607615397703, 0.042056075169135065, 0.04465633674394777]",0.042056,0.042056,0.042056,0.042056,0.044656,0.042317,"[0.04205607570467051, 0.04205607863372889, 0.04205607615397703, 0.042056075169135065, 0.04336052495461606]",0.042056,0.042056,0.042056,0.042056,0.043361
7,1.347778,0.507371,0.000000,0.399661,0.000000,0.000000,0.910563,0.823096,0.131855,0.321373,25.889226,19.000693,0.199082,0.455278,0.057113,0.057477,0.057477,0.057477,0.057477,0.055659,0.056875,"[0.05747663633177, 0.05747664110313622, 0.05747663674861108, 0.05747663599145298, 0.054469414758634156]",0.057477,0.057477,0.057477,0.057477,0.054469,0.042494,"[0.04205607561716689, 0.04205607910794916, 0.0420560760798076, 0.04205607519494453, 0.04424483685412954]",0.042056,0.042056,0.042056,0.042056,0.044245,0.042276,"[0.04205607561716689, 0.04205607910794916, 0.0420560760798076, 0.04205607519494453, 0.04315341888824622]",0.042056,0.042056,0.042056,0.042056,0.043153
8,1.365394,0.497789,0.000000,0.404317,0.000000,0.000000,0.908770,0.824676,0.127274,0.345691,26.392049,18.689565,0.188440,0.474335,0.057182,0.057477,0.057477,0.057477,0.057477,0.056005,0.056910,"[0.05747663632178038, 0.05747663915880939, 0.05747663682546543, 0.057476635970564384, 0.05464360780403984]",0.057477,0.057477,0.057477,0.057477,0.054644,0.042633,"[0.04205607563998527, 0.04205607827251179, 0.04205607622675655, 0.04205607518386683, 0.04494062458832448]",0.042056,0.042056,0.042056,0.042056,0.044941,0.042346,"[0.04205607563998527, 0.04205607827251179, 0.04205607622675655, 0.04205607518386683, 0.04350374910919237]",0.042056,0.042056,0.042056,0.042056,0.043504
9,1.395677,0.487329,0.000000,0.405043,0.000000,0.000000,0.914970,0.825413,0.126776,0.315492,26.460566,19.171912,0.187638,0.447062,0.057172,0.057477,0.057477,0.057477,0.057477,0.055955,0.056905,"[0.057476636422447866, 0.0574766386997286, 0.05747663694502835, 0.05747663591384258, 0.054618463898515886]",0.057477,0.057477,0.057477,0.057477,0.054618,0.042540,"[0.0420560756625187, 0.04205607799309234, 0.04205607652119767, 0.04205607513713772, 0.04447475439030916]",0.042056,0.042056,0.042056,0.042056,0.044475,0.042299,"[0.0420560756625187, 0.04205607799309234, 0.04205607652119767, 0.04205607513713772, 0.043269309779257165]",0.042056,0.042056,0.042056,0.042056,0.043269
10,1.408511,0.480931,0.000000,0.404295,0.000000,0.000000,0.918545,0.824575,0.121232,0.296967,26.649355,19.827493,0.186229,0.413890,0.057157,0.057477,0.057477,0.057477,0.057477,0.055877,0.056897,"[0.05747663648659121, 0.057476641435202945, 0.05747663661481506, 0.057476635966258016, 0.05457912294931768]",0.057477,0.057477,0.057477,0.057477,0.054579,0.042509,"[0.04205607575434588, 0.042056080239370915, 0.04205607602057501, 0.04205607519882146, 0.04432210936111366]",0.042056,0.042056,0.042056,0.042056,0.044322,0.042283,"[0.04205607575434588, 0.042056080239370915, 0.04205607602057501, 0.04205607519882146, 0.043192820956479853]",0.042056,0.042056,0.042056,0.042056,0.043193
11,1.415528,0.473294,0.000000,0.393157,0.000000,0.000000,0.909639,0.828862,0.126309,0.292532,26.474001,19.864452,0.187748,0.411586,0.057122,0.057477,0.057477,0.057477,0.057477,0.055701,0.056879,"[0.057476636539561865, 0.05747664001698883, 0.05747663691358569, 0.057476635906592494, 0.05449060276165798]",0.057477,0.057477,0.057477,0.057477,0.054491,0.042464,"[0.04205607579734927, 0.04205608002224086, 0.042056076374970136, 0.042056075149568495, 0.04409560889396812]",0.042056,0.042056,0.042056,0.042056,0.044096,0.042261,"[0.04205607579734927, 0.04205608002224086, 0.042056076374970136, 0.042056075149568495, 0.043078443213408917]",0.042056,0.042056,0.042056,0.042056,0.043078
12,1.429775,0.466757,0.000000,0.394539,0.000000,0.000000,0.917032,0.832217,0.120534,0.266373,26.723539,20.570386,0.181483,0.378419,0.057055,0.057477,0.057477,0.057477,0.057477,0.055367,0.056846,"[0.0574766363569553, 0.05747663814021087, 0.057476637051331256, 0.057476635965555176, 0.05432193958264419]",0.057477,0.057477,0.057477,0.057477,0.054322,0.042404,"[0.042056075686101334, 0.04205607711930998, 0.042056076316827305, 0.04205607520221423, 0.04379403854619449]",0.042056,0.042056,0.042056,0.042056,0.043794,0.042230,"[0.042056075686101334, 0.04205607711930998, 0.042056076316827305, 0.04205607520221423, 0.04292690630245146]",0.042056,0.042056,0.042056,0.042056,0.042927
13,1.469268,0.453179,0.000000,0.399790,0.000000,0.000000,0.913420,0.828305,0.117205,0.292453,26.751743,19.926340,0.181669,0.410195,0.057073,0.057477,0.057477,0.057477,0.057477,0.055460,0.056855,"[0.05747663618109105, 0.057476639933418054, 0.05747663765532272, 0.057476635991988934, 0.05436887943708835]",0.057477,0.057477,0.057477,0.057477,0.054369,0.042495,"[0.04205607545491451, 0.04205607856156125, 0.04205607707174114, 0.042056075220404776, 0.04425273126614364]",0.042056,0.042056,0.042056,0.042056,0.044253,0.042276,"[0.04205607545491451, 0.04205607856156125, 0.04205607707174114, 0.042056075220404776, 0.04315756498995566]",0.042056,0.042056,0.042056,0.042056,0.043158
