epoch,loss_G_total,loss_D_total,loss_paired,loss_cycle,loss_seg,loss_anatomy,mr2ct_ssim,ct2mr_ssim,mr2ct_mae,ct2mr_mae,mr2ct_psnr,ct2mr_psnr,mr2ct_rmse,ct2mr_rmse,mean_dice,dice_class_1,dice_class_2,dice_class_3,dice_class_4,dice_class_5,mean_iou,iou_per_class,iou_class_1,iou_class_2,iou_class_3,iou_class_4,iou_class_5,ct_seg_mean_dice,ct_seg_per_class,ct_seg_class_1,ct_seg_class_2,ct_seg_class_3,ct_seg_class_4,ct_seg_class_5,ct_seg_mean_iou,ct_seg_iou_per_class,ct_seg_iou_class_1,ct_seg_iou_class_2,ct_seg_iou_class_3,ct_seg_iou_class_4,ct_seg_iou_class_5
1,3.467227,0.631806,0.992596,0.596482,0.000000,0.000000,0.941047,0.841685,0.072186,0.235512,29.659075,21.650802,0.125074,0.334626,0.057060,0.057477,0.057477,0.057477,0.057477,0.055392,0.056848,"[0.05747663631965401, 0.05747663812243767, 0.05747663683334132, 0.05747663597635817, 0.054334328137462966]",0.057477,0.057477,0.057477,0.057477,0.054334,0.042546,"[0.0420560756420721, 0.04205607669951957, 0.04205607625702247, 0.04205607521045656, 0.04450577911359704]",0.042056,0.042056,0.042056,0.042056,0.044506,0.042302,"[0.0420560756420721, 0.04205607669951957, 0.04205607625702247, 0.04205607521045656, 0.0432848880605092]",0.042056,0.042056,0.042056,0.042056,0.043285
2,3.090418,0.587023,0.825044,0.422892,0.195535,0.000000,0.935227,0.849827,0.077015,0.219855,29.285436,22.030736,0.131384,0.317431,0.811697,1.000000,1.000000,1.000000,1.000000,0.058485,0.811550,"[1.0, 1.0, 1.0, 1.0, 0.05775057182322612]",1.000000,1.000000,1.000000,1.000000,0.057751,0.858837,"[1.0, 1.0, 1.0, 1.0, 0.2941825718138164]",1.000000,1.000000,1.000000,1.000000,0.294183,0.846390,"[1.0, 1.0, 1.0, 1.0, 0.2319503044952858]",1.000000,1.000000,1.000000,1.000000,0.231950
3,2.822251,0.582751,0.782213,0.374552,0.070886,0.000000,0.943184,0.848509,0.066377,0.210491,30.537803,22.413640,0.113456,0.302602,0.812445,1.000000,1.000000,1.000000,1.000000,0.062223,0.812001,"[1.0, 1.0, 1.0, 1.0, 0.0600050688846986]",1.000000,1.000000,1.000000,1.000000,0.060005,0.857421,"[1.0, 1.0, 1.0, 1.0, 0.2871052925245424]",1.000000,1.000000,1.000000,1.000000,0.287105,0.845692,"[1.0, 1.0, 1.0, 1.0, 0.2284620717066721]",1.000000,1.000000,1.000000,1.000000,0.228462
4,2.731337,0.581258,0.757911,0.341960,0.074977,0.000000,0.941371,0.851272,0.070010,0.209318,29.944131,22.480514,0.120986,0.302730,0.811857,1.000000,1.000000,1.000000,1.000000,0.059283,0.811758,"[1.0, 1.0, 1.0, 1.0, 0.058787997687021434]",1.000000,1.000000,1.000000,1.000000,0.058788,0.897053,"[1.0, 1.0, 1.0, 1.0, 0.4852661548773305]",1.000000,1.000000,1.000000,1.000000,0.485266,0.885215,"[1.0, 1.0, 1.0, 1.0, 0.42607429924859935]",1.000000,1.000000,1.000000,1.000000,0.426074
5,2.698792,0.577814,0.746784,0.328456,0.083133,0.000000,0.945372,0.851278,0.063960,0.226675,30.772951,21.795562,0.109755,0.328755,0.843996,1.000000,1.000000,1.000000,1.000000,0.219979,0.843513,"[1.0, 1.0, 1.0, 1.0, 0.21756580327444802]",1.000000,1.000000,1.000000,1.000000,0.217566,0.911840,"[1.0, 1.0, 1.0, 1.0, 0.5592003777754436]",1.000000,1.000000,1.000000,1.000000,0.559200,0.899390,"[1.0, 1.0, 1.0, 1.0, 0.4969501962476875]",1.000000,1.000000,1.000000,1.000000,0.496950
6,2.634427,0.576563,0.732730,0.312527,0.073234,0.000000,0.938947,0.853701,0.071718,0.210913,29.807302,22.320457,0.121725,0.306697,0.812704,1.000000,1.000000,1.000000,1.000000,0.063518,0.812038,"[1.0, 1.0, 1.0, 1.0, 0.060192019240048814]",1.000000,1.000000,1.000000,1.000000,0.060192,0.904366,"[1.0, 1.0, 1.0, 1.0, 0.5218294306356088]",1.000000,1.000000,1.000000,1.000000,0.521829,0.892501,"[1.0, 1.0, 1.0, 1.0, 0.4625037232285843]",1.000000,1.000000,1.000000,1.000000,0.462504
7,2.594215,0.570714,0.719962,0.301880,0.060620,0.000000,0.947004,0.851718,0.063062,0.212042,30.835121,22.271376,0.109242,0.308176,0.814294,1.000000,1.000000,1.000000,1.000000,0.071472,0.814260,"[1.0, 1.0, 1.0, 1.0, 0.07129936306230579]",1.000000,1.000000,1.000000,1.000000,0.071299,0.895996,"[1.0, 1.0, 1.0, 1.0, 0.47998111117639103]",1.000000,1.000000,1.000000,1.000000,0.479981,0.881871,"[1.0, 1.0, 1.0, 1.0, 0.4093560671536328]",1.000000,1.000000,1.000000,1.000000,0.409356
8,2.510624,0.563715,0.683499,0.285172,0.053118,0.000000,0.946428,0.853888,0.064262,0.204692,30.562005,22.569675,0.112146,0.298380,0.812796,1.000000,1.000000,1.000000,1.000000,0.063978,0.812619,"[1.0, 1.0, 1.0, 1.0, 0.06309387773683597]",1.000000,1.000000,1.000000,1.000000,0.063094,0.905411,"[1.0, 1.0, 1.0, 1.0, 0.5270556289382602]",1.000000,1.000000,1.000000,1.000000,0.527056,0.893635,"[1.0, 1.0, 1.0, 1.0, 0.4681727031726537]",1.000000,1.000000,1.000000,1.000000,0.468173
9,1.845097,0.546314,0.369517,0.169955,0.037151,0.000000,0.945048,0.852674,0.068870,0.213166,30.548080,22.232115,0.112887,0.310316,0.816648,1.000000,1.000000,1.000000,1.000000,0.083240,0.814821,"[1.0, 1.0, 1.0, 1.0, 0.07410509226948805]",1.000000,1.000000,1.000000,1.000000,0.074105,0.862355,"[1.0, 1.0, 1.0, 1.0, 0.3117762830196973]",1.000000,1.000000,1.000000,1.000000,0.311776,0.848714,"[1.0, 1.0, 1.0, 1.0, 0.24356832570976317]",1.000000,1.000000,1.000000,1.000000,0.243568
10,1.446160,0.517803,0.160160,0.089911,0.021894,0.000000,0.944369,0.851332,0.066841,0.203884,30.316678,22.750348,0.116107,0.291779,0.812605,1.000000,1.000000,1.000000,1.000000,0.063027,0.812526,"[1.0, 1.0, 1.0, 1.0, 0.06263144861676954]",1.000000,1.000000,1.000000,1.000000,0.062631,0.889693,"[1.0, 1.0, 1.0, 1.0, 0.4484628697741641]",1.000000,1.000000,1.000000,1.000000,0.448463,0.876568,"[1.0, 1.0, 1.0, 1.0, 0.38283814504178276]",1.000000,1.000000,1.000000,1.000000,0.382838
